# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = GaussianStan_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = GaussianStan.data.json
# init = 2 (Default)
# random
#   seed = 2432242613 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.44568
# Diagonal elements of inverse mass matrix:
# 0.254891, 0.38534
-1.91872,0.604836,0.44568,3,7,0,3.49864,2.21616,1.62095
-1.66861,0.999662,0.44568,2,3,0,1.96224,2.13362,1.50401
-0.806554,0.958716,0.44568,2,7,0,2.9142,1.36621,0.995444
-0.972562,0.95754,0.44568,2,7,0,1.96708,2.0101,1.1803
-1.01718,0.320799,0.44568,3,7,0,3.83209,2.30244,0.633149
-0.678652,1,0.44568,2,3,0,0.989755,2.24508,0.682069
-2.99048,0.689513,0.44568,3,7,0,3.69225,0.7264,2.04502
-0.803159,0.99937,0.44568,4,15,0,3.45499,2.2712,0.667403
-0.682891,1,0.44568,1,1,0,0.855623,2.24553,0.678476
-0.440741,0.939754,0.44568,3,7,0,1.78709,1.60113,0.955496
0.161539,0.995881,0.44568,3,7,0,0.841741,1.58274,0.458459
-0.277606,0.964953,0.44568,3,7,0,0.360952,2.12527,0.711116
0.239564,0.963459,0.44568,2,3,0,0.736399,1.90944,0.657703
-0.223565,0.992858,0.44568,3,7,0,0.228144,2.02466,0.814914
-0.305711,0.992601,0.44568,2,3,0,0.467795,2.13305,0.718509
0.191968,0.945533,0.44568,2,7,0,0.796011,1.97304,0.482142
0.191968,0.00070029,0.44568,1,1,0,4.30999,1.97304,0.482142
-0.977093,0.708109,0.44568,3,7,0,1.9084,2.02409,1.17775
-3.70925,0.935509,0.44568,3,7,0,3.9941,0.437419,1.08727
-3.12828,0.498814,0.44568,3,7,0,6.49169,0.585053,2.02903
-1.74221,0.985987,0.44568,2,7,0,4.29934,0.990024,0.923033
-1.91322,0.947023,0.44568,2,7,0,2.23706,1.00873,0.767982
-0.422816,0.99901,0.44568,2,3,0,1.95113,1.40212,0.791789
0.198194,0.859317,0.44568,1,3,0,1.07743,1.56445,0.580794
0.203595,0.885508,0.44568,2,5,0,0.603504,1.83268,0.707245
-0.363873,0.993578,0.44568,2,7,0,0.367216,1.94666,0.92195
-0.285532,0.975859,0.44568,2,7,0,0.857459,2.1151,0.744
-0.253127,0.942789,0.44568,2,7,0,0.867714,1.90202,0.887906
-0.368199,0.987356,0.44568,3,7,0,0.987353,2.14405,0.567089
-0.309066,0.716964,0.44568,2,3,0,2.14809,2.14356,0.673432
0.116145,0.861693,0.44568,2,3,0,1.32657,1.99337,0.480732
-0.0226481,0.7303,0.44568,3,7,0,1.93613,1.80548,0.808427
-3.98626,0.897252,0.44568,4,15,0,5.72855,0.25336,2.70712
-5.31371,0.841968,0.44568,2,7,0,5.7445,0.0200987,4.33163
-4.67487,0.983026,0.44568,4,15,0,6.28757,-0.275168,1.79747
-4.32672,0.978972,0.44568,2,3,0,4.93651,-0.123684,1.77186
-4.96528,0.986171,0.44568,2,7,0,6.01667,-0.510976,3.27538
-0.539388,0.860104,0.44568,3,11,0,5.4633,1.71791,1.02232
0.178081,0.994468,0.44568,2,5,0,0.71451,1.67382,0.387557
0.199576,0.953291,0.44568,2,3,0,0.1033,1.98066,0.50596
0.0245757,0.997704,0.44568,2,3,0,0.0925201,1.61904,0.392836
-0.560885,0.862537,0.44568,2,3,0,0.819691,1.66754,0.315408
-1.45105,0.865843,0.44568,1,1,0,1.60984,1.80363,0.262918
-0.919916,1,0.44568,1,1,0,1.72795,1.88554,0.296216
-0.868814,1,0.44568,1,1,0,1.34135,1.87346,0.295895
-0.868814,0.0745953,0.44568,2,3,0,2.28515,1.87346,0.295895
0.0890435,0.923399,0.44568,2,3,0,0.981464,1.93142,0.404539
0.396076,1,0.44568,2,3,0,0.021372,1.77208,0.620065
-0.168697,0.966113,0.44568,2,3,0,0.200827,2.08058,0.519045
0.125697,0.997415,0.44568,2,3,0,0.27311,1.59188,0.436037
0.517063,1,0.44568,2,3,0,-0.0588138,1.74217,0.51926
-0.28886,0.9562,0.44568,2,3,0,0.574629,1.94542,0.361684
-0.28886,0.13086,0.44568,2,3,0,2.10539,1.94542,0.361684
0.439449,0.87009,0.44568,3,7,0,1.82856,1.7439,0.591217
0.206951,0.975015,0.44568,3,7,0,0.076684,1.84871,0.381374
0.191499,0.934225,0.44568,2,3,0,0.2567,1.70834,0.376526
0.502467,0.987012,0.44568,2,3,0,0.0204376,1.77625,0.547472
0.000524131,0.905586,0.44568,1,3,0,0.539074,2.04642,0.637396
-0.115904,0.930785,0.44568,2,3,0,0.915307,2.06073,0.50254
0.169437,0.990204,0.44568,2,7,0,0.302573,1.71196,0.721607
-0.390585,0.995571,0.44568,2,3,0,0.561222,1.7669,0.311282
0.426789,0.700669,0.44568,2,3,0,1.2152,1.87373,0.559294
0.2323,0.913024,0.44568,3,7,0,0.450989,1.93213,0.643495
-0.0187316,0.965614,0.44568,2,3,0,0.221841,1.49856,0.645815
-2.20392,0.360145,0.44568,3,7,0,5.32297,2.72693,1.2429
-1.82544,0.981346,0.44568,3,7,0,2.51233,2.32836,1.5036
-2.87231,0.576442,0.44568,2,7,0,4.17596,2.57578,2.12667
-2.90762,1,0.44568,1,1,0,2.9357,2.59634,2.14409
-3.41801,0.973687,0.44568,2,5,0,5.5891,2.17071,2.72295
-0.0624096,0.65228,0.44568,2,7,0,3.73825,1.7536,0.825585
-3.1503,0.656891,0.44568,2,7,0,5.39411,2.37582,2.44639
-0.975573,0.999919,0.44568,2,5,0,3.83028,2.04144,1.17064
-1.29099,0.997444,0.44568,3,7,0,2.03984,2.42382,0.937645
-2.01167,0.976949,0.44568,2,7,0,2.32808,2.33185,1.62414
-1.92721,0.991549,0.44568,3,7,0,2.70345,2.59827,0.892094
-3.00199,0.960214,0.44568,3,7,0,4.60314,0.967423,2.23491
-3.6882,0.951425,0.44568,3,7,0,4.43139,1.4943,2.97789
-3.93863,0.96305,0.44568,3,7,0,5.11747,2.50398,0.48771
-0.750385,1,0.44568,2,3,0,4.12672,2.23908,0.880358
0.501249,0.333507,0.44568,2,3,0,4.8275,1.75554,0.451937
0.483505,0.992295,0.44568,2,7,0,-0.43009,1.70078,0.521131
0.468843,0.979993,0.44568,1,3,0,-0.314251,1.8492,0.543734
-0.303894,0.903237,0.44568,2,3,0,0.394198,1.40633,0.645768
-4.21571,0.276973,0.44568,1,1,0,4.22209,1.08372,0.450032
-2.4397,0.90336,0.44568,2,3,0,4.82568,0.967261,0.697993
-1.0823,1,0.44568,2,3,0,2.45318,1.24727,1.03515
-0.97116,0.998396,0.44568,2,3,0,1.20221,1.25088,0.951383
-0.864522,0.956758,0.44568,2,7,0,1.75432,1.29171,0.600573
0.0803846,0.90465,0.44568,2,3,0,1.18249,1.9512,0.418565
0.0771631,0.999694,0.44568,2,3,0,0.0575447,1.95358,0.41996
-0.574058,0.925262,0.44568,1,3,0,2.07108,2.20789,0.624313
-0.64269,0.987492,0.44568,2,3,0,0.789707,2.21176,0.593477
-1.87904,0.689797,0.44568,3,7,0,3.0707,1.22768,0.498431
