# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = IQStan_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = IQStan.data.json
# init = 2 (Default)
# random
#   seed = 3026686953 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,sigma
# Adaptation terminated
# Step size = 0.451838
# Diagonal elements of inverse mass matrix:
# 0.00416806, 0.00317954, 0.00302106, 0.147874
-4.41248,0.451194,0.451838,2,3,0,8.73307,91.2127,110.224,153.037,4.52037
-5.43531,0.85158,0.451838,2,7,0,8.60242,88.9347,111.035,156.387,5.97802
-7.65647,0.856702,0.451838,2,7,0,8.16835,92.1429,109.025,157.262,11.463
-8.19378,0.987751,0.451838,2,7,0,11.6284,88.3476,118.044,157.924,9.56603
-5.14836,0.964174,0.451838,3,7,0,8.9278,92.2856,107.971,158.056,7.08926
-4.08813,1,0.451838,3,7,0,5.55216,96.102,106.562,153.721,5.08518
-5.58877,0.918381,0.451838,3,7,0,6.37892,90.0207,109.433,150.753,6.16313
-4.75653,1,0.451838,2,3,0,5.76461,91.5322,110.528,153.305,6.71414
-3.9462,0.957613,0.451838,3,7,0,6.73084,98.2241,109.787,156.018,5.35712
-5.27628,0.859583,0.451838,3,7,0,6.664,90.2045,108.186,151.817,5.77383
-5.79087,0.900368,0.451838,2,3,0,7.44063,89.512,106.79,153.418,6.98282
-5.44659,0.984287,0.451838,3,7,0,7.78124,100.053,113.262,157.119,5.37181
-5.87337,0.994782,0.451838,3,7,0,6.71744,90.7728,106.687,151.275,4.88272
-9.0411,0.796587,0.451838,3,7,0,10.752,98.5842,117.155,162.388,5.66586
-8.13959,1,0.451838,3,7,0,11.1877,91.0283,110.276,144.666,8.89612
-5.81607,1,0.451838,3,7,0,9.01219,101.108,106.556,155.35,5.69678
-5.82479,0.951396,0.451838,3,7,0,8.29368,94.9617,109.407,154.162,8.91063
-4.43716,0.97858,0.451838,3,7,0,7.93497,97.2567,112.377,151.85,5.46612
-3.84661,0.999457,0.451838,3,7,0,4.92619,96.9387,109.356,157.657,4.85581
-4.66545,0.934723,0.451838,2,3,0,5.22954,94.6822,111.759,159.49,4.72355
-4.82455,0.976796,0.451838,3,7,0,5.34951,95.2632,112.534,158.877,4.2413
-7.13116,0.716597,0.451838,3,7,0,7.44254,94.2941,109.776,145.845,7.96332
-3.53184,0.957866,0.451838,3,7,0,7.27285,94.0204,110.995,157.137,4.57504
-5.20147,0.827013,0.451838,2,3,0,6.38387,91.6547,108.809,156.69,3.57587
-4.39402,1,0.451838,2,3,0,6.17892,98.4333,111.692,152.65,4.8704
-5.00544,0.928656,0.451838,3,7,0,6.78622,90.0192,110.311,156.121,6.40962
-5.3551,0.985698,0.451838,3,7,0,6.8609,94.3192,107.689,160.385,4.88135
-4.76811,0.991916,0.451838,2,7,0,5.78209,94.6796,106.998,159.054,5.7712
-9.10073,0.732269,0.451838,3,7,0,10.8827,94.162,105.883,164.376,5.23919
-5.07015,1,0.451838,2,3,0,9.43431,93.1155,108.577,154.353,7.64226
-4.41798,0.986678,0.451838,3,7,0,6.01613,95.4762,107.566,154.037,6.62267
-5.28953,0.960266,0.451838,2,7,0,5.79003,95.6251,105.853,154.875,7.51583
-5.2054,1,0.451838,2,7,0,5.56042,96.7757,105.65,154.412,7.1406
-5.13676,0.999011,0.451838,3,7,0,6.20088,90.5801,106.287,155.083,5.46127
-4.27294,0.983345,0.451838,3,7,0,6.38386,93.2295,106.406,154.84,4.47916
-4.07631,0.780791,0.451838,3,7,0,7.34082,97.8938,107.888,156.415,4.9835
-4.04419,0.977597,0.451838,3,7,0,4.79819,92.5583,112.269,153.539,4.4721
-4.93645,0.968505,0.451838,3,7,0,5.56983,98.0995,110.785,153.939,7.27513
-3.47415,0.979261,0.451838,3,7,0,6.10929,93.3561,109.665,155.862,3.92098
-4.32605,0.834792,0.451838,2,3,0,5.21058,96.0218,109.923,158.483,3.99127
-6.2126,0.865549,0.451838,2,3,0,8.25059,93.1657,106.621,152.739,3.3907
-8.86839,0.780245,0.451838,3,7,0,9.81136,100.126,117.947,158.724,12.12
-5.93877,0.99195,0.451838,3,7,0,10.36,96.9302,114.185,149.355,6.47066
-4.7444,1,0.451838,3,7,0,6.50784,91.0552,109.495,157.956,4.80418
-4.39279,0.840274,0.451838,3,7,0,6.76379,91.5268,109.098,154.022,4.01342
-4.01874,0.95847,0.451838,3,7,0,5.33489,97.3496,107.857,156.914,5.02443
-4.56486,0.928361,0.451838,3,7,0,6.50275,93.9335,112.158,151.833,4.00113
-4.51608,0.92412,0.451838,3,7,0,6.72952,93.694,114.425,153.976,5.09263
-6.53101,0.680507,0.451838,2,3,0,10.5424,90.0071,109.454,152.321,3.81929
-5.9971,1,0.451838,3,7,0,7.00166,100.28,110.588,158.017,7.98601
-6.01705,0.997125,0.451838,3,7,0,7.68259,90.6297,108.264,157.882,3.97449
-6.4029,1,0.451838,3,7,0,7.27923,102.585,111.139,152.35,6.95556
